索引   文件名   耗时  数据最优解   实验最优解 
112   1165_Instance_20_2_2_0,6_1_20_Rep0.txt   1.51   3568   2355 
112   1165_Instance_20_2_2_0,6_1_20_Rep0.txt   1.51   3568   2355 
112   1236_Instance_20_2_3_0,6_0,2_20_Rep1.txt   1.84   6503   6505 
118   1170_Instance_20_2_3_0,2_0,2_10_Rep0.txt   2.93   1762   2676 
118   1170_Instance_20_2_3_0,2_0,2_10_Rep0.txt   2.93   1762   2676 
118   1236_Instance_20_2_3_0,6_0,2_20_Rep1.txt   1.54   6503   6632 
123   1175_Instance_20_2_3_0,2_0,2_20_Rep0.txt   3.35   793   1145 
123   1175_Instance_20_2_3_0,2_0,2_20_Rep0.txt   3.35   793   1145 
123   1236_Instance_20_2_3_0,6_0,2_20_Rep1.txt   2.57   6503   6498 
129   1180_Instance_20_2_3_0,2_0,6_10_Rep0.txt   3.04   633   981 
129   1180_Instance_20_2_3_0,2_0,6_10_Rep0.txt   3.04   633   981 
129   1236_Instance_20_2_3_0,6_0,2_20_Rep1.txt   1.96   6503   6695 
134   1185_Instance_20_2_3_0,2_0,6_20_Rep0.txt   3.47   233   510 
134   1185_Instance_20_2_3_0,2_0,6_20_Rep0.txt   3.47   233   510 
134   1236_Instance_20_2_3_0,6_0,2_20_Rep1.txt   1.84   6503   6253 
140   1190_Instance_20_2_3_0,2_1_10_Rep0.txt   1.65   319   491 
140   1190_Instance_20_2_3_0,2_1_10_Rep0.txt   1.65   319   491 
140   1236_Instance_20_2_3_0,6_0,2_20_Rep1.txt   2.56   6503   5823 
145   1195_Instance_20_2_3_0,2_1_20_Rep0.txt   1.86   346   332 
145   1195_Instance_20_2_3_0,2_1_20_Rep0.txt   1.86   346   332 
145   1236_Instance_20_2_3_0,6_0,2_20_Rep1.txt   2.38   6503   7026 
152   1200_Instance_20_2_3_0,4_0,2_10_Rep0.txt   2.68   2593   3282 
152   1200_Instance_20_2_3_0,4_0,2_10_Rep0.txt   2.68   2593   3282 
152   1236_Instance_20_2_3_0,6_0,2_20_Rep1.txt   2.46   6503   6725 
157   1205_Instance_20_2_3_0,4_0,2_20_Rep0.txt   3.13   1355   1604 
157   1205_Instance_20_2_3_0,4_0,2_20_Rep0.txt   3.13   1355   1604 
157   1236_Instance_20_2_3_0,6_0,2_20_Rep1.txt   2.62   6503   6912 
162   120_Instance_10_2_3_0,4_0,2_10_Rep0.txt   0.78   1160   1160 
162   120_Instance_10_2_3_0,4_0,2_10_Rep0.txt   0.78   1160   1160 
162   1236_Instance_20_2_3_0,6_0,2_20_Rep1.txt   1.71   6503   6972 
163   1210_Instance_20_2_3_0,4_0,6_10_Rep0.txt   2.85   2398   1824 
163   1210_Instance_20_2_3_0,4_0,6_10_Rep0.txt   2.85   2398   1824 
163   1236_Instance_20_2_3_0,6_0,2_20_Rep1.txt   2.67   6503   6374 
168   1215_Instance_20_2_3_0,4_0,6_20_Rep0.txt   2.97   2217   2598 
168   1215_Instance_20_2_3_0,4_0,6_20_Rep0.txt   2.97   2217   2598 
168   1236_Instance_20_2_3_0,6_0,2_20_Rep1.txt   1.56   6503   7358 
174   1220_Instance_20_2_3_0,4_1_10_Rep0.txt   1.42   2392   1599 
174   1220_Instance_20_2_3_0,4_1_10_Rep0.txt   1.42   2392   1599 
174   1236_Instance_20_2_3_0,6_0,2_20_Rep1.txt   1.62   6503   7059 
179   1225_Instance_20_2_3_0,4_1_20_Rep0.txt   1.48   2306   2294 
179   1225_Instance_20_2_3_0,4_1_20_Rep0.txt   1.48   2306   2294 
179   1236_Instance_20_2_3_0,6_0,2_20_Rep1.txt   1.9   6503   7373 
185   1230_Instance_20_2_3_0,6_0,2_10_Rep0.txt   3.07   8150   9295 
185   1230_Instance_20_2_3_0,6_0,2_10_Rep0.txt   3.07   8150   9295 
185   1236_Instance_20_2_3_0,6_0,2_20_Rep1.txt   1.52   6503   7245 
190   1235_Instance_20_2_3_0,6_0,2_20_Rep0.txt   2.99   4094   4700 
190   1235_Instance_20_2_3_0,6_0,2_20_Rep0.txt   2.99   4094   4700 
190   1236_Instance_20_2_3_0,6_0,2_20_Rep1.txt   2.92   6503   7614 
196   1240_Instance_20_2_3_0,6_0,6_10_Rep0.txt   1.45   8373   9446 
196   1240_Instance_20_2_3_0,6_0,6_10_Rep0.txt   1.45   8373   9446 
196   1236_Instance_20_2_3_0,6_0,2_20_Rep1.txt   3.11   6503   6317 
201   1245_Instance_20_2_3_0,6_0,6_20_Rep0.txt   1.39   5801   6079 
201   1245_Instance_20_2_3_0,6_0,6_20_Rep0.txt   1.39   5801   6079 
201   1236_Instance_20_2_3_0,6_0,2_20_Rep1.txt   3.1   6503   8322 
207   1250_Instance_20_2_3_0,6_1_10_Rep0.txt   1.4   5026   4726 
207   1250_Instance_20_2_3_0,6_1_10_Rep0.txt   1.4   5026   4726 
索引   文件名   耗时  数据最优解   实验最优解 
0   00_Instance_10_2_2_0,2_0,2_10_Rep0.txt   0.69   579   507 
索引   文件名   耗时  数据最优解   实验最优解 
0   00_Instance_10_2_2_0,2_0,2_10_Rep0.txt   0.69   579   507 
索引   文件名   耗时  数据最优解   实验最优解 
0   1236_Instance_20_2_3_0,6_0,2_20_Rep1.txt   3.16   6503   7947 
5   05_Instance_10_2_2_0,2_0,2_20_Rep0.txt   0.7   746   672 
5   05_Instance_10_2_2_0,2_0,2_20_Rep0.txt   0.7   746   672 
5   1236_Instance_20_2_3_0,6_0,2_20_Rep1.txt   1.44   6503   8630 
10   100_Instance_10_2_3_0,2_0,6_10_Rep0.txt   0.43   898   1254 
10   100_Instance_10_2_3_0,2_0,6_10_Rep0.txt   0.43   898   1254 
10   1236_Instance_20_2_3_0,6_0,2_20_Rep1.txt   1.65   6503   8247 
15   105_Instance_10_2_3_0,2_0,6_20_Rep0.txt   0.41   0   62 
15   105_Instance_10_2_3_0,2_0,6_20_Rep0.txt   0.41   0   62 
15   1236_Instance_20_2_3_0,6_0,2_20_Rep1.txt   2.18   6503   8565 
18   1080_Instance_20_2_2_0,2_0,2_10_Rep0.txt   2.93   3454   4983 
18   1080_Instance_20_2_2_0,2_0,2_10_Rep0.txt   2.93   3454   4983 
18   1236_Instance_20_2_3_0,6_0,2_20_Rep1.txt   1.53   6503   8476 
23   1085_Instance_20_2_2_0,2_0,2_20_Rep0.txt   2.8   1357   2516 
23   1085_Instance_20_2_2_0,2_0,2_20_Rep0.txt   2.8   1357   2516 
23   1236_Instance_20_2_3_0,6_0,2_20_Rep1.txt   2.53   6503   8128 
29   1090_Instance_20_2_2_0,2_0,6_10_Rep0.txt   2.78   1940   3275 
29   1090_Instance_20_2_2_0,2_0,6_10_Rep0.txt   2.78   1940   3275 
29   1236_Instance_20_2_3_0,6_0,2_20_Rep1.txt   2.1   6503   8010 
34   1095_Instance_20_2_2_0,2_0,6_20_Rep0.txt   2.61   728   1312 
34   1095_Instance_20_2_2_0,2_0,6_20_Rep0.txt   2.61   728   1312 
34   1236_Instance_20_2_3_0,6_0,2_20_Rep1.txt   3.16   6503   8646 
40   10_Instance_10_2_2_0,2_0,6_10_Rep0.txt   0.44   175   401 
40   10_Instance_10_2_2_0,2_0,6_10_Rep0.txt   0.44   175   401 
40   1236_Instance_20_2_3_0,6_0,2_20_Rep1.txt   3.0   6503   8646 
41   1100_Instance_20_2_2_0,2_1_10_Rep0.txt   2.57   842   2362 
41   1100_Instance_20_2_2_0,2_1_10_Rep0.txt   2.57   842   2362 
41   1236_Instance_20_2_3_0,6_0,2_20_Rep1.txt   3.05   6503   7343 
46   1105_Instance_20_2_2_0,2_1_20_Rep0.txt   1.43   0   56 
46   1105_Instance_20_2_2_0,2_1_20_Rep0.txt   1.43   0   56 
46   1236_Instance_20_2_3_0,6_0,2_20_Rep1.txt   1.38   6503   8613 
51   110_Instance_10_2_3_0,2_1_10_Rep0.txt   0.41   1755   1731 
51   110_Instance_10_2_3_0,2_1_10_Rep0.txt   0.41   1755   1731 
51   1236_Instance_20_2_3_0,6_0,2_20_Rep1.txt   1.47   6503   8046 
52   1110_Instance_20_2_2_0,4_0,2_10_Rep0.txt   2.5   4040   6008 
52   1110_Instance_20_2_2_0,4_0,2_10_Rep0.txt   2.5   4040   6008 
52   1236_Instance_20_2_3_0,6_0,2_20_Rep1.txt   2.77   6503   8379 
57   1115_Instance_20_2_2_0,4_0,2_20_Rep0.txt   2.43   2627   4361 
57   1115_Instance_20_2_2_0,4_0,2_20_Rep0.txt   2.43   2627   4361 
57   1236_Instance_20_2_3_0,6_0,2_20_Rep1.txt   1.98   6503   8560 
63   1120_Instance_20_2_2_0,4_0,6_10_Rep0.txt   2.38   849   2436 
63   1120_Instance_20_2_2_0,4_0,6_10_Rep0.txt   2.38   849   2436 
63   1236_Instance_20_2_3_0,6_0,2_20_Rep1.txt   1.59   6503   7902 
68   1125_Instance_20_2_2_0,4_0,6_20_Rep0.txt   2.31   914   2262 
68   1125_Instance_20_2_2_0,4_0,6_20_Rep0.txt   2.31   914   2262 
68   1236_Instance_20_2_3_0,6_0,2_20_Rep1.txt   1.35   6503   8336 
74   1130_Instance_20_2_2_0,4_1_10_Rep0.txt   2.32   1060   1050 
74   1130_Instance_20_2_2_0,4_1_10_Rep0.txt   2.32   1060   1050 
74   1236_Instance_20_2_3_0,6_0,2_20_Rep1.txt   3.14   6503   7859 
79   1135_Instance_20_2_2_0,4_1_20_Rep0.txt   2.27   2250   1089 
79   1135_Instance_20_2_2_0,4_1_20_Rep0.txt   2.27   2250   1089 
79   1236_Instance_20_2_3_0,6_0,2_20_Rep1.txt   1.37   6503   8069 
85   1140_Instance_20_2_2_0,6_0,2_10_Rep0.txt   2.16   7418   8025 
85   1140_Instance_20_2_2_0,6_0,2_10_Rep0.txt   2.16   7418   8025 
85   1236_Instance_20_2_3_0,6_0,2_20_Rep1.txt   1.44   6503   8436 
90   1145_Instance_20_2_2_0,6_0,2_20_Rep0.txt   2.3   6074   8347 
90   1145_Instance_20_2_2_0,6_0,2_20_Rep0.txt   2.3   6074   8347 
90   1236_Instance_20_2_3_0,6_0,2_20_Rep1.txt   2.59   6503   7399 
96   1150_Instance_20_2_2_0,6_0,6_10_Rep0.txt   1.3   7866   7109 
96   1150_Instance_20_2_2_0,6_0,6_10_Rep0.txt   1.3   7866   7109 
96   1236_Instance_20_2_3_0,6_0,2_20_Rep1.txt   2.36   6503   7715 
101   1155_Instance_20_2_2_0,6_0,6_20_Rep0.txt   2.25   3006   3583 
101   1155_Instance_20_2_2_0,6_0,6_20_Rep0.txt   2.25   3006   3583 
101   1236_Instance_20_2_3_0,6_0,2_20_Rep1.txt   3.1   6503   8579 
106   115_Instance_10_2_3_0,2_1_20_Rep0.txt   0.79   0   22 
106   115_Instance_10_2_3_0,2_1_20_Rep0.txt   0.79   0   22 
106   1236_Instance_20_2_3_0,6_0,2_20_Rep1.txt   3.05   6503   8579 
107   1160_Instance_20_2_2_0,6_1_10_Rep0.txt   1.79   5517   3810 
107   1160_Instance_20_2_2_0,6_1_10_Rep0.txt   1.79   5517   3810 
107   1236_Instance_20_2_3_0,6_0,2_20_Rep1.txt   1.39   6503   8406 
112   1165_Instance_20_2_2_0,6_1_20_Rep0.txt   2.18   3568   2511 
112   1165_Instance_20_2_2_0,6_1_20_Rep0.txt   2.18   3568   2511 
112   1236_Instance_20_2_3_0,6_0,2_20_Rep1.txt   1.35   6503   8257 
118   1170_Instance_20_2_3_0,2_0,2_10_Rep0.txt   3.38   1762   2216 
118   1170_Instance_20_2_3_0,2_0,2_10_Rep0.txt   3.38   1762   2216 
118   1236_Instance_20_2_3_0,6_0,2_20_Rep1.txt   1.34   6503   8291 
123   1175_Instance_20_2_3_0,2_0,2_20_Rep0.txt   3.53   793   1270 
123   1175_Instance_20_2_3_0,2_0,2_20_Rep0.txt   3.53   793   1270 
123   1236_Instance_20_2_3_0,6_0,2_20_Rep1.txt   1.52   6503   8538 
129   1180_Instance_20_2_3_0,2_0,6_10_Rep0.txt   3.42   633   1317 
129   1180_Instance_20_2_3_0,2_0,6_10_Rep0.txt   3.42   633   1317 
129   1236_Instance_20_2_3_0,6_0,2_20_Rep1.txt   3.0   6503   8376 
134   1185_Instance_20_2_3_0,2_0,6_20_Rep0.txt   3.55   233   946 
134   1185_Instance_20_2_3_0,2_0,6_20_Rep0.txt   3.55   233   946 
